,Title,Title_pred,No_title,Wrong_title,Title_with_errors,Right_title,Author,Author_pred,None identified,Wrong author,Some authors,All authors
18,"Biology of solanum tuberosum (Potato), Series of crop specific Biology document","Biology of Solanum tuberosum (Potato), Series of Crop Specific Biology Document",0,0,0,1,"Virupaksh Patil, Vinay Bhardwaj, Sundaresha Siddappa","Virupaksh Patil, Sundaresha Siddappa, Vinay Bhardwaj",0,0,1,1
19,History of potato and its emerging problems in India,History of Potato and its Emerging Problems in India,0,0,0,1,"B. P. Singh, Rajesh K. Rama",Rajesh K. Rana,0,1,0,0
20,Problems and Prospects of seed potato production systems in India Souvenir,Problems and Prospects of Seed Potato Production Systems in India,0,0,0,1,"Dhiraj Kumar Singh, Vijay K Dua, Brajesh Singh, N. K. Pandye","Dhiraj Kumar Singh, Brajesh Singh, Vijay K Dua",0,0,1,0
21,"Varietal adoption pattern and economic analysis of potato production in South Bihar, India","Varietal Adoption Pattern and Economic Analysis of Potato Production in South Bihar, India",0,0,0,1,"Dhiraj K Singh, NK Pandye, Kharumnuid P, Ujjwal Kumar, Rohan Kumar Raman","Dhiraj K Singh, NK Pandey, Kharumnuid P2, Ujjwal Kumar1 and Rohan Kumar Raman1",0,1,1,0
22,Management strategies for invasive thrips (Thrips parvispinus) in Chilli (ad-hoc),Management Strategies for Invasive Thrips (Thrips parvispinus) in Chilli (ad-hoc),0,0,0,1,,"Government of India, Ministry of Agriculture & FarmerÃ¢â‚¬â„¢s Welfare, Department of Agriculture Cooperation & FarmerÃ¢â‚¬â„¢s Welfare, Integrated Pest Management Division, Directorate of Plant Protection Quarantine & Storage",0,1,0,0
23,An overview of locust control & research,Locust Control and Research Scheme of the DPPQ&S,0,0,0,1,"A. K. Sinha, B. S. Phogat, J.P. Singh, S. K. Verma, Narasa Reddy.G","Government of India, Department of Agriculture, Cooperation & Farmers Welfare, Ministry of Agriculture & Farmers Welfare, Directorate of Plant Protection, Quarantine & Storage",0,1,0,0
24,Aesa based package apricot,AESA Based IPM Pack,0,0,1,0,,Balaji Scan Pvt. Ltd.,0,1,0,0
25,Aesa based package arecanut,AESA Based IPM Packages,0,0,1,0,,CANUT,0,1,0,0
26,Integrated pest management (IPM) in Basil (Cyamopsis tetragonoloba) for export purpose,Integrated Pest Management (IPM) in Basil (Cyamopsis tetragonoloba ) for export purpose ,0,0,0,1,"Dr. S. N. Sushil, Dr. J. P. Singh, Dr.Sanjay Arya, Sh. J. Michael Raja","Dr. S. N. Sushil, Plant Protection Adviser; Dr. J. P. Singh, JD (Ento.); Dr.Sanjay Arya, D D (PP); Sh. J. Michael Raja , PPO  (Ento.) ",0,1,1,0
27,Aesa based IPM - Blackgram & Greengram,AESA based IPM Ã¢â‚¬â€œ Blackgram & Greengram,0,0,1,0,,"S.K. Singh, S.K. Singh, and S.K. Singh",0,1,0,0
28,Aesa based IPM Package Cherry,AESA Based IPM Package,0,0,1,0,,Directorate of Plant Protection Quarantine and Storage,0,1,0,0
29,Production technologies of chilli in Bihar,Production Technologies of Chilli in Bihar,0,0,0,1,,,0,0,0,1
30,Chilli,Chilli Season and Climate,0,0,0,1,"Rythu Sadhikara Samstha (RySS), Andhra Pradesh",,1,0,0,0
31,Aesa based IMP Package Coffee,AESA Based IPM Package for Coffee ,0,0,0,1,,"Directorate of Plant Protection, Quarantine and Storage ",0,1,0,0
32,Integrated pest management package for cotton,The Impact of Social Media on Society,0,1,0,0,"S Mohan, D Monga, Rishi Kumar, V Nagrare, Nandini Gokte-Narkhedkar, S Vennila, R K Tanwar, O P Sharma, Someshwar Bhagat, Meenu Agarwal, C Chattopadhyay, Rakesh Kumar, Ajanta Birah, N Amaresan, Amar Singh, S N Sushil, Ram Asre, K S Kapoor, P Jeyakumar, K Satyagopal",Dr. Jennifer Corrigan,0,1,0,0
33,Integrated Pest Management (IPM) in Guava (Psidium guajava) for export purpose,Integrated Pest Management (IPM) in Guava (Psidium guajava) for Export Purpose ,0,0,0,1,"Dr. S. N. Sushil, Dr. J. P. Singh, Dr. D.K.Nagaraju, Sh. Chitranjan Ranawat","Directorate of Plant Protection, Quarantine & Storage ",0,1,0,0
34,Crop production guide horticulture crops,Crop Production Guide Horticulture Crops 2020 ,0,0,0,1,,Directorate of Horticulture and Plantation Crops ,0,1,0,0
35,IPM Package of practices for the management of paddy gall midge (Orselioa pryzae),IPM Package of Practices for the Management of Paddy Gall Midge (Orseolia oryzae),0,0,0,1,,,0,0,0,1
36,Karnal bunt of wheat,Karnal Bunt of Wheat ,0,0,0,1,,Government of India ,0,1,0,0
37,Integrated Pest Management (IPM) in Lablab Beans (Lablab purpureus) for export purpose,Integrated Pest Management (IPM) in Lablab Beans (Lablab purpureus) for export purpose,0,0,0,1,"Dr. S. N. Sushil, Dr. J. P. Singh, Dr.C.S.Patni, Sh. Rahul Mishra","Dr. S. N. Sushil, Plant Protection Adviser; Dr. J. P. Singh, JD (Ento.); Dr.C.S.Patni, AD (PP); Sh. Rahul Mishra, PPO (PP)",0,1,1,1
38,Package of practices of Maize,Package of Practices of Maize,0,0,0,1,,,0,0,0,1
39,Problems and Prospects of Maize crop in eastern zone of bihar,Problems and Prospects of Maize Crop in Eastern Zone of Bihar,0,0,0,1,"Meera Kumari, Ravi Gopal Singh, Lokesh Kumar Meena","Lokesh Kumar Meena, Ravi Gopal Singh, Meera Kumari",0,0,1,1
40,Integrated Pest Management (IPM) in Mango (Mangifera indica) for export purpose,Integrated Pest Management (IPM) in Mango (Mangifera indica) for Export Purpose ,0,0,0,1,"Dr. S. N. Sushil, Dr. J. P. Singh, Dr. A. Chakraborty, Sh. Chitranjan Ranawat"," Dr. S. N. Sushil, Plant Protection Adviser; Dr. J. P. Singh, JD (Ento.); Dr. A. Chakraborty, PPO (Ento.); Sh. Chitranjan Ranawat, PPO (Ento.) ",0,1,1,0
41,Dynamics of oilseeds production and decomposition of output components of oilseeds in Bihar,Dynamics of Oilseeds Production and Decomposition of output Components of Oilseeds in Bihar,0,0,0,1,"A. Roy, K.M. Singh, T. Kumari, N. Ahmad, R. Singh, R.P. Singh, D.K. Sinha","Aniruddha Roy, K. M. Singh, Tulika Kumari, Nasim Ahmad",0,1,0,0
42,"Oilseeds production, processing and trade :  a policy framework","Oilseeds Production, Processing and Trade: A Policy Framework",0,0,0,1,,RV. Shenoi,0,1,0,0
43,Analysis of rice value chains-a study of Bihar and Karnataka states in India,Analysis of Rice Value Chain- a Study of Bihar and Karnataka States in India,0,0,0,1,"Pavithra, A.S, K.M.Singh, Nasim Ahmad, D.K. Sinha, R.R.Mishra","Pavithra, A.S; K.M. Singh; Nasim Ahmad; D.K. Sinha and R.R. Mishra",0,1,1,0
44,Rice cultivation handbook,Rice Cultivation Handbook,0,0,0,1,,National Agricultural Research Organisation,0,1,0,0
45,Paddy cultivation,How to Scientifically Grow Rice in India,0,1,0,0,,,0,0,0,1
46,Aerobic Rice: Worthful in Bihar,Aerobic Rice: Worthful in Bihar,0,0,0,1,"Vivek Dubey, Rakesh Kumar, Mdd. Saquib Alam","Vivek Dubey, Md. Saquib Alam, Rakesh Kumar",0,1,1,0
47,Adaptation and Impact of zero tillage technology for wheat cultivation in eastern region of Bohar,Adaptation and Impact of Zero Tillage Technology for Wheat Cultivation in Eastern Region of Bihar,0,0,0,1,"Sanjeev Kumar Gupta, Sanoj Kumar, R. K. Sohane, S. K. Pathak, S. Raghawan, Shridhar Patil, Arvind Bhai Patel","Shridhar Patil, Arvind Bhai Patel, Srinivasaraghavan A.",0,1,1,0
48,Cultivating Wheat with SRI Principles: a trainining manual,The Impact of Social Media on Society,0,1,0,0,,Dr. Jennifer Corrigan,0,1,0,0
49,Cultivation of wheat crop,Cultivation of Wheat Crop,0,0,0,1,,,0,0,0,1
